ε11,ε22,ε12,κ11,κ22,κ12
0.2290540539999999,-0.010675675999999967,0.0,0.0,0.0,0.0
0.14729729699999994,-0.006216215999999997,0.0,0.0,0.0,0.0
0.31824324299999995,0.0,-0.095945946,0.0,0.0,0.0
0.04324324300000004,0.0,0.0,-0.005054054,0.0,0.0
0.0,0.0,0.0,-0.005513514,0.0,0.001621622
0.0,0.0,0.0,0.0,0.0,0.002702703
0.0,0.0,0.0,0.001378378,0.0,0.000405405
0.0,0.010000000000000009,0.0,0.0,0.0,-0.005
0.0952702700000001,0.0,0.0,0.001837838,0.0,0.0
0.04324324300000004,0.0,0.0,0.005054054,0.0,0.0
-0.0013513509999999451,0.0,-0.010810811,0.0,0.0,0.0
0.3033783779999999,0.0,0.0,0.0,0.0,-0.003243243
-0.08310810800000001,0.0063513509999999496,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.005513514,0.008108108,0.0
0.08040540500000004,0.0,0.0,0.0,-0.004054054,0.0
0.1324324320000001,0.0,0.0,0.000459459,0.0,0.0
0.0,0.0010810809999999282,0.0,0.006891892,0.0,0.0
0.0,-0.01229729700000004,0.0,0.0,-0.012162162,0.0
0.0952702700000001,0.0,0.0,0.0,0.0,0.0
0.2736486490000001,0.0,-0.039189189,0.0,0.0,0.0
0.2290540539999999,0.0006756759999999584,0.0,0.0,0.0,0.0
0.0,0.0,0.027027027,0.0,0.0,-0.001756757
0.2736486490000001,0.0,0.0,0.0,0.0,0.002702703
0.0,0.0,0.017567568,-0.006432432,0.0,0.0
-0.06824324299999995,-0.015540541000000019,0.0,0.0,0.0,0.0
0.0,0.0,0.055405405,0.0,0.0,0.001351351
0.0,0.0,0.0,0.0,0.0,-0.001216216
0.39256756800000003,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.006756757,-0.001351351
0.0,0.0,0.0,0.0,0.005405405,0.0
0.340540541,-0.01675675700000001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.006891892,0.0,0.0
0.0,0.0,0.0,0.0,0.006756757,0.0
0.0,-0.0037837840000000122,0.0,-0.001378378,0.0,0.0
0.28108108099999995,0.0,0.0,-0.009648649,0.0,0.0
0.0,0.0,0.093243243,0.0,0.0,0.000810811
0.0,0.0,0.0,0.0,0.0,0.001486486
0.11013513499999994,0.0,0.0,0.0,-0.001351351,0.0
0.0,0.0,0.0,0.0,0.0,0.000945946
0.0,-0.004594595000000035,0.0,0.0,0.0,-0.000135135
0.25135135100000006,0.0,0.0,0.0,0.0,-0.002297297
0.0,-0.0021621619999999675,0.0,0.0,0.0,0.000945946
0.1547297299999999,0.0,0.0,0.0,0.0,-0.000540541
0.3851351350000001,0.0,0.0,0.0,0.0,-0.00472973
0.24391891899999996,0.0,0.0,0.0,0.0,0.002162162
0.0,0.0,0.0,0.0,-0.001351351,-0.00027027
0.0,0.0,0.0,0.006891892,0.0,-0.002027027
0.0,0.0,0.0,-0.009189189,0.013513514,0.0
0.0,0.0035135139999999954,0.0,0.009648649,0.0,0.0
0.14729729699999994,0.0,0.0,0.0,-0.002027027,0.0
0.0,0.0,0.0,0.0,0.007432432,0.001486486
0.0,0.0,0.178378378,0.0,0.0,0.000405405
0.0,-0.01635135099999996,-0.114864865,0.0,0.0,0.0
0.22162162200000002,0.00027026999999990586,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.009648649,-0.014189189,0.0
0.0,-0.019189188999999995,0.0,0.0,0.0,0.0
0.0,-0.018378377999999973,0.0,0.0,0.0,-0.004459459
0.07297297299999994,0.0,0.083783784,0.0,0.0,0.0
-0.11283783800000002,0.007972972999999994,0.0,0.0,0.0,0.0
0.0952702700000001,0.0,0.112162162,0.0,0.0,0.0
0.0,0.0,0.0,-0.006891892,0.010135135,0.0
0.0,0.0,0.045945946,0.0,0.0,-0.001486486
0.0,0.0,0.0,0.00872973,0.012837838,0.0
0.14729729699999994,0.0,0.0,0.0,0.0,0.000405405
0.0,-0.017972973000000003,0.0,0.0,0.0,-0.004324324
0.2290540539999999,0.0,0.0,0.006432432,0.0,0.0
0.0,-0.0013513509999999451,0.0,0.0,0.0,0.0
0.0,-0.01189189199999996,0.0,0.0,0.011486486,0.0
0.050675676,0.0,0.0,0.0,0.0,-0.001351351
0.06554054100000006,0.0,0.0,0.0,0.0,-0.001081081
0.11013513499999994,0.0,0.0,0.0,0.0,-0.00027027
0.050675676,0.0,0.0,-0.004594595,0.0,0.0
0.006081081000000044,0.0,0.0,-0.007351351,0.0,0.0
0.1175675679999999,0.0,0.0,0.0,0.0,0.000135135
