ε11,ε22,ε12,ɣ13,ɣ23,κ11,κ22,κ12,A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12,K11,K22,K12
1,1,0,0,-0.048648649,0,0,-0.004864865,32.87392955,398.3097427,14.61776407,0.030414911,0.030312312,10.69892533,2.26E-05,4.60E-05,-0.000117205,-1.642364698,-0.969261098,4.54E-06,1161.91741,5129.932888,520.2752222,0.382490823,0.38777961,463.7386417,-0.000121502,44.37498024,0.000439992
1.377702703,1,0,0.045945946,0,0,0,0,34.75179256,302.0960887,9.716979057,0.25654999,0.156669468,16.96459323,-3.35E-05,0.000259377,2.10E-05,9.02E-05,-3.08E-05,4.01E-05,1064.80633,3886.855318,342.5804506,0.00026639,-3.27E-05,588.2036908,6.39577925,27.36923817,0.49405554
1,1.01,0,0,0,0,0,-0.005,46.33614885,408.9344465,21.52333273,0.021005098,0.021078576,23.35259903,-1.27E-06,4.48E-06,-3.97E-05,-11.39812217,-0.251098084,-8.20E-06,1573.031244,5324.356289,577.2318839,0.206916998,0.455387087,781.5442567,0.000270567,2.92E-05,0.000149859
1.09527027,1,0,0,0,0.001837838,0,0,45.6843212,384.8306238,15.65198954,0.841164964,0.954563125,25.34053344,-7.622103029,0.357261724,-0.095241065,0.185320013,0.242274051,-1.804575469,1518.744772,5066.349627,522.4950373,1.164755133,1.520803416,828.0806478,34.37748056,34.49292676,0.005631987
1.043243243,1,0,0,0,0.005054054,0,0,32.03364279,400.0838339,16.95389009,0.627430139,0.816524486,18.54722494,30.70543774,1.97838534,-0.086831911,0.018271172,0.010063495,9.754594319,1028.639777,5195.231941,546.4712311,0.980117952,1.074027236,574.8781653,0.00049705,45.07175328,0.442415903
0.998648649,1,-0.010810811,0,0,0,0,0,52.39436153,420.6792626,18.21518659,-4.718049377,-0.101305273,27.40984994,-4.46E-07,4.67E-06,7.74E-06,4.52E-06,1.84E-06,1.59E-06,1785.130607,5586.438526,606.5567277,-30.16812125,3.40786926,923.7174433,7.697037419,48.20070728,-0.62000551
1.303378378,1,0,0,0,0,0,-0.003243243,36.31338037,318.8374189,11.14868043,0.055510926,0.040269619,18.38484107,3.50E-05,-2.94E-06,-0.000438723,-0.320608851,15.73701368,4.77E-05,1143.095178,4162.778408,382.2368178,0.010304294,0.002667284,641.1969207,-7.56E-05,-8.80E-05,-8.18E-05
0.916891892,1.006351351,0,0,0,0,0,0,2.644303345,426.76617,14.08968648,0.027652111,0.028255096,-1.816303588,-0.000918237,0.001088903,0.000295599,-2.29E-05,0.000400753,-0.003325556,122.0934953,5188.862157,414.6370672,-0.000527069,-2.81E-05,-25.98398108,0.000119846,0.000534516,0.000327181
1,1,0,-0.040540541,0.040540541,0,0,0,40.6886002,412.4361736,15.77247686,3.71861058,3.221903324,18.97196989,5.95E-06,5.13E-06,-1.22E-05,5.81E-06,8.97E-06,8.00E-06,1373.713927,5372.270541,567.9198243,80.44760873,95.5028894,659.1189201,6.71250476,46.4987983,0.902415863
1,1,0,0.047297297,0,0,0,0.00472973,33.48121522,408.2281794,16.04456969,0.025473072,0.026640798,13.6515987,7.89E-05,0.000103207,-9.95E-05,2.27576011,1.476347439,4.34E-05,1126.511847,5184.710869,527.8190976,-0.21949379,-0.279708307,472.7040695,8.325024681,43.97033635,-0.503355027
